release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
STIL,chinook,3,2015,2016,5/17/2016,6/17/2016,153.5,G,H,5.45,78.81538496,STILLAGUAMISH R -SF,BRENNER HATCHERY,STILLAGUAMISH R,WA,NPS,STIL,29000
STIL,chinook,2,2015,2016,4/16/2016,6/5/2016,132,G,H,5.04,76.83352728,WHITEHORSE SPRINGS,WHITEHORSE POND,STILLAGUAMISH R -NF,WA,NPS,STIL,185400
WDFW,chinook,3,2009,2010,9/2/2010,9/2/2010,245,Y,H,25.06,129.5287915,CHAMBERS CR  12.0007,GARRISON HATCHERY,DESCHUTES R  13.0028,WA,SPS,CHAM,27838
WDFW,chinook,3,2004,2005,5/2/2005,5/2/2005,122,,H,6.87,84.98770696,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,559000
COOP,chinook,3,1998,2000,4/15/2000,4/15/2000,106,Y,H,56.69,168.969879,SKOKOMISH R  16.0001,RICKS PD (LLTK),GEORGE ADAMS (PURDY),WA,HOOD,SKDO,74000
WDFW,chinook,3,2002,2004,4/2/2004,4/13/2004,98.5,Y,H,55.99,166,CAPITOL LK (THUR),PERCIVAL COVE NET PN,DESCHUTES R  13.0028,WA,SPS,DES,16395
NISQ,chinook,3,2015,2016,3/10/2016,5/1/2016,96,G,H,4.54,74.26352452,MCALLISTER SPRINGS HATCH,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,WA,SPS,NISQ,504000
UW,chinook,3,1997,1998,5/11/1998,5/11/1998,131,,H,9.58,94.70643364,PORTAGE BAY/SHIP CNL,PORTAGE BAY HATCHERY,PORTAGE BAY STOCK UW,WA,MPS,LAKW,353
WDFW,chinook,3,2003,2004,6/11/2004,6/11/2004,163,,H,5.03,76,DESCHUTES R  13.0028,TUMWATER FALLS HATCHERY,DESCHUTES R  13.0028,WA,SPS,DES,200870
SUQ,chinook,3,2015,2016,5/9/2016,5/13/2016,132,G,H,5.53,79.19026067,GROVERS CR   15.0299,GROVERS CR HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,257637
COOP,chinook,3,2015,2016,6/1/2016,6/1/2016,153,,H,5.81,80.47422336,EAST SOUND BAY (SAN),GLENWOOD SPRINGS,GLENWOOD SPRINGS,WA,NOWA,SJUA,103331
WDFW,chinook,2,1975,1976,5/15/1976,5/15/1976,136,G,W,2.26,59.17356712,SKAGIT R     03.0176,NA,SKAGIT R     03.0176,WA,NPS,SKAGG,1742
SUQ,chinook,3,2015,2016,5/9/2016,5/13/2016,132,G,H,5.53,79.19026067,GROVERS CR HATCHERY,GROVERS CR HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,210040
WDFW,chinook,3,2003,2004,4/5/2004,4/17/2004,102,,H,4.83,76,FRIDAY CR    03.0017,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,202009
WDFW,chinook,1,2000,2001,6/3/2001,6/3/2001,154,,H,6.87,84,KENDALL CR   01.0406,KENDALL CR HATCHERY,NOOKSACK R   01.0120,WA,NOWA,NOOK,199000
SUQ,chinook,3,2007,2008,5/15/2008,5/15/2008,136,G,H,5.47,78.90944996,GROVERS CR HATCHERY,GROVERS CR HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,23399
WDFW,chinook,3,1999,2000,5/25/2000,5/25/2000,146,,H,5.03,85,FRIDAY CR + SAMISH R,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,10777
WDFW,chinook,2,1974,1975,5/1/1975,5/1/1975,121,G,W,1.8,54.94701677,SKAGIT R     03.0176,NA,SKAGIT R     03.0176,WA,NPS,SKAGG,916
WDFW,chinook,3,2002,2003,5/31/2003,5/31/2003,151,,H,12.39,102.9802371,CHAMBERS CR  12.0007,CHAMBERS CR HATCHERY,CHAMBERS CR  12.0007,WA,SPS,CHAM,49283
WDFW,chinook,3,2008,2009,7/24/2009,7/24/2009,205,,H,18.89,118.1397126,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,73240
WDFW,chinook,3,2007,2008,6/13/2008,6/13/2008,165,,H,5.46,74,VOIGHT CR    10.0414,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,275000
WDFW,chinook,1,2003,2004,3/2/2004,3/2/2004,62,,H,0.62,38.83449883,MAPLE CR     01.0415,KENDALL CR HATCHERY,NOOKSACK R   01.0120,WA,NOWA,NOOK,10400
WDFW,chinook,3,1995,1996,5/28/1996,5/28/1996,149,,H,5.89,80,FINCH CR     16.0222,HOODSPORT HATCHERY,FINCH CR     16.0222,WA,HOOD,SKDO,798450
WDFW,chinook,3,2012,2013,5/3/2013,5/3/2013,123,,H,6.23,81,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,83000
TULA,chinook,2,2014,2015,5/1/2015,5/12/2015,126.5,G,H,5.82,80.51929973,TULALIP CR   07.0001,BERNIE GOBIN HATCH,SNOHOMISH R  07.0012,WA,NPS,SNOH,109178
WDFW,chinook,3,2004,2005,5/18/2005,5/18/2005,138,,H,6.67,84,PURDY CR     16.0005,GEORGE ADAMS HATCHERY,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,1060067
WDFW,chinook,3,1997,1998,5/11/1998,5/11/1998,131,,H,4.93,76.28340822,CAPITOL LK (THUR),TUMWATER FALLS HATCHERY,DESCHUTES R  13.0028,WA,SPS,DES,126960
COOP,chinook,3,1994,1995,2/28/1995,2/28/1995,59,,H,0.9,43.84506059,SPURGEON CR  13.0037,TIMBERLINE HS(OLYMPI,DESCHUTES R  13.0028,WA,SPS,DES,125
WDFW,chinook,3,1995,1996,6/3/1996,6/5/1996,156,,H,6.29,80,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,1033353
WDFW,chinook,1,2013,2014,5/5/2014,5/5/2014,125,,H,57,180,MINTER CR TR 15.0051,HUPP SPRINGS REARING,WHITE R      10.0031,WA,SPS,EKPS,203072
WDFW,chinook,2,1976,1977,6/1/1977,6/1/1977,152,G,W,1.8,54.94701677,SKAGIT R     03.0176,NA,SKAGIT R     03.0176,WA,NPS,SKAGG,5090
WDFW,chinook,3,2005,2006,5/22/2006,5/22/2006,142,,H,6.04,84,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,622000
WDFW,chinook,3,2013,2014,6/6/2014,6/8/2014,158,,H,5.77,80.29339284,VOIGHT CR    10.0414,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,338044
WDFW,chinook,3,1996,1997,2/18/1997,2/18/1997,49,E,H,0.45,34.98623677,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,682600
WDFW,chinook,1,2003,2004,4/15/2004,4/15/2004,106,,H,4.58,75,KENDALL CR   01.0406,KENDALL CR HATCHERY,NOOKSACK R   01.0120,WA,NOWA,NOOK,44100
WDFW,chinook,1,2002,2003,10/8/2003,10/9/2003,281.5,,H,13.34,103,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,102200
WDFW,chinook,3,1994,1995,5/1/1995,5/1/1995,121,,H,9.07,93.03431581,CHAMBERS CR  12.0007,GARRISON HATCHERY,VOIGHT CR    10.0414,WA,SPS,CHAM,125500
